,seed_term,terms,value,type
130,대기오염,국내,0.2672194242477417,C
131,대기오염,발령,0.009501377120614052,C
132,대기오염,산불,0.10028345137834549,C
133,대기오염,조,-0.057009387761354446,C
134,대기오염,최악,0.08260395377874374,C
135,대기오염,구조,0.07267999649047852,C
136,대기오염,이용,0.07647398114204407,C
137,대기오염,특별법,-0.03742295503616333,C
138,대기오염,예상,0.17887943983078003,C
139,대기오염,향후,0.19960659742355347,C
140,대기오염,수요,0.20723319053649902,C
141,대기오염,농도,0.3305787146091461,C
142,대기오염,기류,0.030660759657621384,C
143,대기오염,수급,-0.019128046929836273,C
144,대기오염,매연,0.4398631155490875,C
145,대기오염,난방,0.27305763959884644,C
146,대기오염,할론,-0.09784574061632156,C
147,대기오염,자가용,0.018426917493343353,C
148,대기오염,최근,0.234574094414711,C
